freq,resp
589.0,100.3118
590.0,100.31432
591.0,100.31682
592.0,100.31932
593.0,100.3218
594.0,100.32427
595.0,100.32672
596.0,100.32917
597.0,100.3316
598.0,100.33402
599.0,100.33643
600.0,100.33883
601.0,100.34121
602.0,100.34358
603.0,100.34595
604.0,100.34829
605.0,100.35063
606.0,100.35296
607.0,100.35527
608.0,100.35758
609.0,100.35987
610.0,100.36215
611.0,100.36442
612.0,100.36668
613.0,100.36893
614.0,100.37116
615.0,100.37339
616.0,100.37561
617.0,100.37781
618.0,100.38001
619.0,100.38219
620.0,100.38436
621.0,100.38653
622.0,100.38868
623.0,100.39082
624.0,100.39295
625.0,100.39508
626.0,100.39718
627.0,100.39929
628.0,100.40138
629.0,100.40346
630.0,100.40553
631.0,100.4076
632.0,100.40965
633.0,100.41169
634.0,100.41372
635.0,100.41575
636.0,100.41776
637.0,100.41977
638.0,100.42176
639.0,100.42375
640.0,100.42572
641.0,100.42769
642.0,100.42965
643.0,100.4316
644.0,100.43354
645.0,100.43547
646.0,100.43739
647.0,100.43931
648.0,100.44121
649.0,100.44311
650.0,100.445
651.0,100.44687
652.0,100.44874
653.0,100.45061
654.0,100.45246
655.0,100.4543
656.0,100.45614
657.0,100.45797
658.0,100.45978
659.0,100.4616
660.0,100.4634
661.0,100.46519
662.0,100.46698
663.0,100.46876
664.0,100.47053
665.0,100.47229
666.0,100.47405
667.0,100.4758
668.0,100.47753
669.0,100.47927
670.0,100.48099
671.0,100.48271
672.0,100.48441
673.0,100.48611
674.0,100.48781
675.0,100.48949
676.0,100.49117
677.0,100.49284
678.0,100.49451
679.0,100.49616
680.0,100.49781
681.0,100.49945
682.0,100.50109
683.0,100.50271
684.0,100.50433
685.0,100.50595
686.0,100.50755
687.0,100.50915
688.0,100.51075
689.0,100.51233
690.0,100.51391
691.0,100.51548
692.0,100.51704
693.0,100.5186
694.0,100.52015
695.0,100.5217
696.0,100.52323
697.0,100.52477
698.0,100.52629
699.0,100.52781
700.0,100.52932
701.0,100.53082
702.0,100.53232
703.0,100.53381
704.0,100.5353
705.0,100.53678
706.0,100.53825
707.0,100.53972
708.0,100.54118
709.0,100.54263
710.0,100.54408
711.0,100.54553
712.0,100.54696
713.0,100.54839
714.0,100.54982
715.0,100.55123
716.0,100.55265
717.0,100.55405
718.0,100.55545
719.0,100.55685
720.0,100.55824
721.0,100.55962
722.0,100.561
723.0,100.56237
724.0,100.56373
725.0,100.56509
726.0,100.56645
727.0,100.5678
728.0,100.56914
729.0,100.57048
730.0,100.57181
731.0,100.57314
732.0,100.57446
733.0,100.57577
734.0,100.57708
735.0,100.57839
736.0,100.57969
737.0,100.58098
738.0,100.58227
739.0,100.58356
740.0,100.58484
741.0,100.58611
742.0,100.58738
743.0,100.58864
744.0,100.5899
745.0,100.59115
746.0,100.5924
747.0,100.59364
748.0,100.59488
749.0,100.59611
750.0,100.59734
751.0,100.59857
752.0,100.59978
753.0,100.601
754.0,100.60221
755.0,100.60341
756.0,100.60461
757.0,100.6058
758.0,100.60699
759.0,100.60818
760.0,100.60936
761.0,100.61053
762.0,100.6117
763.0,100.61287
764.0,100.61403
765.0,100.61519
766.0,100.61634
767.0,100.61749
768.0,100.61863
769.0,100.61977
770.0,100.6209
771.0,100.62203
772.0,100.62316
773.0,100.62428
774.0,100.62539
775.0,100.62651
776.0,100.62761
777.0,100.62872
778.0,100.62982
779.0,100.63091
780.0,100.632
781.0,100.63309
782.0,100.63417
783.0,100.63525
784.0,100.63632
785.0,100.63739
786.0,100.63846
787.0,100.63952
788.0,100.64058
789.0,100.64163
790.0,100.64268
791.0,100.64373
792.0,100.64477
793.0,100.6458
794.0,100.64684
795.0,100.64787
796.0,100.64889
797.0,100.64992
798.0,100.65093
799.0,100.65195
800.0,100.65296
801.0,100.65396
802.0,100.65497
803.0,100.65597
804.0,100.65696
805.0,100.65795
806.0,100.65894
807.0,100.65992
808.0,100.6609
809.0,100.66188
810.0,100.66285
811.0,100.66382
